"","subject","trial","stimulus","response","dangerous","correct","eyes","teeth","spots","arms","color"
"255",3,47,"00100.jpg",1,0,0,"0","0","1","0","0"
"256",3,48,"11000.jpg",0,0,1,"1","1","0","0","0"
"257",3,49,"10001.jpg",0,0,1,"1","0","0","0","1"
"258",3,50,"00010.jpg",0,0,1,"0","0","0","1","0"
"259",3,51,"11111.jpg",1,1,1,"1","1","1","1","1"
"260",3,52,"00010.jpg",0,0,1,"0","0","0","1","0"
"261",3,53,"01100.jpg",1,0,0,"0","1","1","0","0"
"262",3,54,"01000.jpg",0,0,1,"0","1","0","0","0"
"263",3,55,"01000.jpg",0,0,1,"0","1","0","0","0"
"264",3,56,"00111.jpg",1,0,0,"0","0","1","1","1"
"265",3,57,"11110.jpg",1,1,1,"1","1","1","1","0"
"266",3,58,"11011.jpg",0,0,1,"1","1","0","1","1"
"267",3,59,"01011.jpg",0,0,1,"0","1","0","1","1"
"268",3,60,"01010.jpg",0,0,1,"0","1","0","1","0"
"269",3,61,"01011.jpg",0,0,1,"0","1","0","1","1"
"270",3,62,"01100.jpg",0,0,1,"0","1","1","0","0"
"271",3,63,"00101.jpg",0,0,1,"0","0","1","0","1"
"272",3,64,"10100.jpg",1,1,1,"1","0","1","0","0"
"273",3,65,"11011.jpg",0,0,1,"1","1","0","1","1"
"274",3,66,"10000.jpg",0,0,1,"1","0","0","0","0"
"275",3,67,"10110.jpg",1,1,1,"1","0","1","1","0"
"276",3,68,"01010.jpg",0,0,1,"0","1","0","1","0"
"277",3,69,"11100.jpg",1,1,1,"1","1","1","0","0"
"278",3,70,"11011.jpg",0,0,1,"1","1","0","1","1"
"279",3,71,"10010.jpg",0,0,1,"1","0","0","1","0"
"280",3,72,"10000.jpg",0,0,0,"1","0","0","0","0"
"281",3,73,"00011.jpg",0,0,1,"0","0","0","1","1"
"282",3,74,"00011.jpg",0,0,1,"0","0","0","1","1"
"283",3,75,"01001.jpg",0,0,1,"0","1","0","0","1"
"284",3,76,"10000.jpg",0,0,1,"1","0","0","0","0"
"285",3,77,"01110.jpg",0,0,1,"0","1","1","1","0"
"286",3,78,"01101.jpg",0,0,1,"0","1","1","0","1"
"287",3,79,"00100.jpg",0,0,1,"0","0","1","0","0"
"288",3,80,"10101.jpg",1,1,1,"1","0","1","0","1"
"289",3,81,"00001.jpg",0,0,1,"0","0","0","0","1"
"290",3,82,"00101.jpg",0,0,1,"0","0","1","0","1"
"291",3,83,"00110.jpg",0,0,1,"0","0","1","1","0"
"292",3,84,"00110.jpg",0,0,1,"0","0","1","1","0"
"293",3,85,"01001.jpg",0,0,1,"0","1","0","0","1"
"294",3,86,"00110.jpg",0,0,1,"0","0","1","1","0"
"295",3,87,"10111.jpg",1,1,1,"1","0","1","1","1"
"296",3,88,"11111.jpg",1,1,1,"1","1","1","1","1"
"297",3,89,"10100.jpg",1,1,1,"1","0","1","0","0"
"298",3,90,"11001.jpg",0,0,1,"1","1","0","0","1"
"299",3,91,"10101.jpg",1,1,1,"1","0","1","0","1"
"300",3,92,"10011.jpg",0,0,1,"1","0","0","1","1"
"301",3,93,"11010.jpg",0,0,1,"1","1","0","1","0"
"302",3,94,"10111.jpg",1,1,1,"1","0","1","1","1"
"303",3,95,"01111.jpg",0,0,1,"0","1","1","1","1"
"304",3,96,"10010.jpg",0,0,1,"1","0","0","1","0"
"305",3,97,"10101pt.jpg",1,1,1,"1","0","1","0","1"
"306",3,98,"11111pt.jpg",1,1,1,"1","1","1","1","1"
"307",3,99,"00101pt.jpg",0,0,1,"0","0","1","0","1"
"308",3,100,"01000pt.jpg",0,0,1,"0","1","0","0","0"
"309",3,101,"11011pt.jpg",0,0,1,"1","1","0","1","1"
"310",3,102,"01010pt.jpg",0,0,1,"0","1","0","1","0"
"311",3,103,"00111pt.jpg",0,0,1,"0","0","1","1","1"
"312",3,104,"11110pt.jpg",1,1,1,"1","1","1","1","0"
"313",4,1,"10111.jpg",1,1,1,"1","0","1","1","1"
"314",4,2,"10001.jpg",1,0,0,"1","0","0","0","1"
"315",4,3,"00000.jpg",0,0,1,"0","0","0","0","0"
"316",4,4,"01001.jpg",0,0,0,"0","1","0","0","1"
"317",4,5,"01010.jpg",0,0,1,"0","1","0","1","0"
"318",4,6,"10010.jpg",1,0,0,"1","0","0","1","0"
"319",4,7,"10010.jpg",0,0,1,"1","0","0","1","0"
"320",4,8,"01101.jpg",0,0,1,"0","1","1","0","1"
"321",4,9,"00000.jpg",0,0,1,"0","0","0","0","0"
"322",4,10,"01110.jpg",0,0,1,"0","1","1","1","0"
"323",4,11,"11001.jpg",1,0,0,"1","1","0","0","1"
"324",4,12,"00011.jpg",0,0,1,"0","0","0","1","1"
"325",4,13,"00100.jpg",0,0,1,"0","0","1","0","0"
"326",4,14,"01011.jpg",0,0,1,"0","1","0","1","1"
"327",4,15,"00110.jpg",0,0,1,"0","0","1","1","0"
"328",4,16,"00100.jpg",0,0,1,"0","0","1","0","0"
"329",4,17,"00100.jpg",0,0,1,"0","0","1","0","0"
"330",4,18,"10110.jpg",0,1,0,"1","0","1","1","0"
"331",4,19,"11110.jpg",1,1,1,"1","1","1","1","0"
"332",4,20,"00011.jpg",0,0,1,"0","0","0","1","1"
"333",4,21,"00110.jpg",0,0,1,"0","0","1","1","0"
"334",4,22,"01101.jpg",0,0,1,"0","1","1","0","1"
"335",4,23,"01101.jpg",0,0,1,"0","1","1","0","1"
"336",4,24,"11011.jpg",1,0,0,"1","1","0","1","1"
"337",4,25,"11010.jpg",0,0,1,"1","1","0","1","0"
"338",4,26,"10100.jpg",1,1,1,"1","0","1","0","0"
"339",4,27,"01111.jpg",0,0,1,"0","1","1","1","1"
"340",4,28,"01110.jpg",0,0,1,"0","1","1","1","0"
"341",4,29,"10101.jpg",0,1,0,"1","0","1","0","1"
"342",4,30,"11000.jpg",0,0,1,"1","1","0","0","0"
"343",4,31,"11110.jpg",1,1,1,"1","1","1","1","0"
"344",4,32,"11100.jpg",1,1,1,"1","1","1","0","0"
"345",4,33,"10000.jpg",0,0,1,"1","0","0","0","0"
"346",4,34,"11011.jpg",0,0,1,"1","1","0","1","1"
"347",4,35,"00110.jpg",0,0,1,"0","0","1","1","0"
"348",4,36,"00010.jpg",0,0,1,"0","0","0","1","0"
"349",4,37,"11010.jpg",0,0,1,"1","1","0","1","0"
"350",4,38,"11101.jpg",1,1,1,"1","1","1","0","1"
"351",4,39,"00101.jpg",0,0,1,"0","0","1","0","1"
"352",4,40,"00001.jpg",0,0,1,"0","0","0","0","1"
"353",4,41,"10110.jpg",1,1,1,"1","0","1","1","0"
"354",4,42,"01011.jpg",0,0,1,"0","1","0","1","1"
"355",4,43,"00101.jpg",0,0,1,"0","0","1","0","1"
"356",4,44,"10010.jpg",0,0,1,"1","0","0","1","0"
"357",4,45,"10101.jpg",1,1,1,"1","0","1","0","1"
"358",4,46,"10001.jpg",0,0,1,"1","0","0","0","1"
"359",4,47,"11101.jpg",1,1,1,"1","1","1","0","1"
"360",4,48,"10011.jpg",0,0,1,"1","0","0","1","1"
"361",4,49,"10100.jpg",1,1,1,"1","0","1","0","0"
"362",4,50,"01100.jpg",0,0,1,"0","1","1","0","0"
"363",4,51,"10000.jpg",0,0,1,"1","0","0","0","0"
"364",4,52,"00010.jpg",0,0,1,"0","0","0","1","0"
"365",4,53,"00010.jpg",0,0,1,"0","0","0","1","0"
"366",4,54,"11001.jpg",0,0,1,"1","1","0","0","1"
"367",4,55,"10111.jpg",1,1,1,"1","0","1","1","1"
"368",4,56,"11010.jpg",0,0,1,"1","1","0","1","0"
"369",4,57,"10110.jpg",1,1,1,"1","0","1","1","0"
"370",4,58,"10011.jpg",0,0,1,"1","0","0","1","1"
"371",4,59,"00111.jpg",0,0,1,"0","0","1","1","1"
"372",4,60,"01001.jpg",0,0,1,"0","1","0","0","1"
"373",4,61,"11100.jpg",1,1,1,"1","1","1","0","0"
"374",4,62,"01111.jpg",0,0,1,"0","1","1","1","1"
"375",4,63,"10100.jpg",1,1,1,"1","0","1","0","0"
"376",4,64,"11111.jpg",1,1,1,"1","1","1","1","1"
"377",4,65,"10011.jpg",0,0,1,"1","0","0","1","1"
"378",4,66,"00111.jpg",0,0,1,"0","0","1","1","1"
"379",4,67,"00011.jpg",0,0,1,"0","0","0","1","1"
"380",4,68,"00111.jpg",0,0,1,"0","0","1","1","1"
"381",4,69,"01001.jpg",0,0,1,"0","1","0","0","1"
"382",4,70,"01100.jpg",0,0,1,"0","1","1","0","0"
"383",4,71,"11000.jpg",0,0,1,"1","1","0","0","0"
"384",4,72,"01000.jpg",0,0,1,"0","1","0","0","0"
"385",4,73,"10101.jpg",1,1,1,"1","0","1","0","1"
"386",4,74,"01000.jpg",0,0,1,"0","1","0","0","0"
"387",4,75,"10001.jpg",0,0,1,"1","0","0","0","1"
"388",4,76,"10111.jpg",1,1,1,"1","0","1","1","1"
"389",4,77,"11111.jpg",1,1,1,"1","1","1","1","1"
"390",4,78,"01011.jpg",0,0,1,"0","1","0","1","1"
"391",4,79,"01000.jpg",1,0,0,"0","1","0","0","0"
"392",4,80,"00000.jpg",0,0,1,"0","0","0","0","0"
"393",4,81,"00001.jpg",0,0,1,"0","0","0","0","1"
"394",4,82,"00001.jpg",0,0,1,"0","0","0","0","1"
"395",4,83,"01100.jpg",0,0,1,"0","1","1","0","0"
"396",4,84,"01010.jpg",0,0,1,"0","1","0","1","0"
"397",4,85,"11011.jpg",0,0,1,"1","1","0","1","1"
"398",4,86,"11100.jpg",1,1,1,"1","1","1","0","0"
"399",4,87,"01110.jpg",0,0,1,"0","1","1","1","0"
"400",4,88,"11111.jpg",1,1,1,"1","1","1","1","1"
"401",4,89,"11000.jpg",0,0,1,"1","1","0","0","0"
"402",4,90,"11110.jpg",1,1,1,"1","1","1","1","0"
"403",4,91,"01111.jpg",0,0,1,"0","1","1","1","1"
"404",4,92,"10000.jpg",0,0,1,"1","0","0","0","0"
"405",4,93,"11001.jpg",0,0,1,"1","1","0","0","1"
"406",4,94,"01010.jpg",0,0,1,"0","1","0","1","0"
"407",4,95,"11101.jpg",1,1,1,"1","1","1","0","1"
"408",4,96,"00101.jpg",0,0,1,"0","0","1","0","1"
"409",4,97,"01010pt.jpg",0,0,1,"0","1","0","1","0"
"410",4,98,"01000pt.jpg",0,0,1,"0","1","0","0","0"
"411",4,99,"11110pt.jpg",1,1,1,"1","1","1","1","0"
"412",4,100,"11011pt.jpg",0,0,1,"1","1","0","1","1"
